bloque,ts,variable,valor
B10_ARQ,2026-08-31 00:30:00,activepower,7194.85
B10_ARQ,2026-08-31 00:40:00,activepower,7023.85
B10_ARQ,2026-08-31 00:50:00,activepower,6821.2
B10_ARQ,2026-08-31 01:00:00,activepower,7506.8
B10_ARQ,2026-08-31 01:10:00,activepower,6986.9
B10_ARQ,2026-08-31 01:20:00,activepower,7030.25
B10_ARQ,2026-08-31 01:30:00,activepower,6807.6
B10_ARQ,2026-08-31 01:40:00,activepower,7335.9
B10_ARQ,2026-08-31 01:50:00,activepower,7077.45
B10_ARQ,2026-08-31 02:00:00,activepower,7139.15
B10_ARQ,2026-08-31 02:10:00,activepower,6803.8
B10_ARQ,2026-08-31 02:20:00,activepower,6776.5
B10_ARQ,2026-08-31 02:30:00,activepower,6573.85
B10_ARQ,2026-08-31 02:40:00,activepower,7077.8
B10_ARQ,2026-08-31 02:50:00,activepower,6803.75
B10_ARQ,2026-08-31 03:00:00,activepower,7176.85
B10_ARQ,2026-08-31 03:10:00,activepower,6916.8
B10_ARQ,2026-08-31 03:20:00,activepower,7149.1
B10_ARQ,2026-08-31 03:30:00,activepower,7760.549999999999
B10_ARQ,2026-08-31 03:40:00,activepower,8540.7
B10_ARQ,2026-08-31 03:50:00,activepower,8592.25
B10_ARQ,2026-08-31 04:00:00,activepower,8829.55
B10_ARQ,2026-08-31 04:10:00,activepower,8828.1
B10_ARQ,2026-08-31 04:20:00,activepower,8549.85
B10_ARQ,2026-08-31 04:30:00,activepower,8906.8
B10_ARQ,2026-08-31 04:40:00,activepower,8303.75
B10_ARQ,2026-08-31 04:50:00,activepower,8626.6
B10_ARQ,2026-08-31 05:00:00,activepower,8381.75
B10_ARQ,2026-08-31 05:10:00,activepower,8869.7
B10_ARQ,2026-08-31 05:20:00,activepower,8606.5
B10_ARQ,2026-08-31 05:30:00,activepower,9237.35
B10_ARQ,2026-08-31 05:40:00,activepower,10861.0
B10_ARQ,2026-08-31 05:50:00,activepower,11000.0
B10_ARQ,2026-08-31 06:00:00,activepower,11638.9
B10_ARQ,2026-08-31 06:10:00,activepower,11987.1
B10_ARQ,2026-08-31 06:20:00,activepower,11466.95
B10_ARQ,2026-08-31 06:30:00,activepower,12303.25
B10_ARQ,2026-08-31 06:40:00,activepower,12287.7
B10_ARQ,2026-08-31 06:50:00,activepower,12451.85
B10_ARQ,2026-08-31 07:00:00,activepower,12700.4
B10_ARQ,2026-08-31 07:10:00,activepower,12389.6
B10_ARQ,2026-08-31 07:20:00,activepower,12880.95
B10_ARQ,2026-08-31 07:30:00,activepower,13771.9
B10_ARQ,2026-08-31 07:40:00,activepower,14204.1
B10_ARQ,2026-08-31 07:50:00,activepower,16753.05
B10_ARQ,2026-08-31 08:00:00,activepower,16817.6
B10_ARQ,2026-08-31 08:10:00,activepower,17968.199999999997
B10_ARQ,2026-08-31 08:20:00,activepower,18376.95
B10_ARQ,2026-08-31 08:30:00,activepower,17739.9
B10_ARQ,2026-08-31 08:40:00,activepower,15734.25
B10_ARQ,2026-08-31 08:50:00,activepower,16095.15
B10_ARQ,2026-08-31 09:00:00,activepower,15230.2
B10_ARQ,2026-08-31 09:10:00,activepower,16314.65
B10_ARQ,2026-08-31 09:20:00,activepower,15313.0
B10_ARQ,2026-08-31 09:30:00,activepower,15194.1
B10_ARQ,2026-08-31 09:40:00,activepower,14608.1
B10_ARQ,2026-08-31 09:50:00,activepower,15557.8
B10_ARQ,2026-08-31 10:00:00,activepower,16126.7
B10_ARQ,2026-08-31 10:10:00,activepower,17395.65
B10_ARQ,2026-08-31 10:20:00,activepower,17585.35
B10_ARQ,2026-08-31 10:30:00,activepower,17007.7
B10_ARQ,2026-08-31 10:40:00,activepower,16192.75
B10_ARQ,2026-08-31 10:50:00,activepower,16915.65
B10_ARQ,2026-08-31 11:00:00,activepower,15893.6
B10_ARQ,2026-08-31 11:10:00,activepower,18051.65
B10_ARQ,2026-08-31 11:20:00,activepower,16114.25
B10_ARQ,2026-08-31 11:30:00,activepower,16185.0
B10_ARQ,2026-08-31 11:40:00,activepower,18295.2
B10_ARQ,2026-08-31 11:50:00,activepower,18169.45
B10_ARQ,2026-08-31 12:00:00,activepower,18342.4
B10_ARQ,2026-08-31 12:10:00,activepower,19310.15
B10_ARQ,2026-08-31 12:20:00,activepower,18295.4
B10_ARQ,2026-08-31 12:30:00,activepower,17624.4
B10_ARQ,2026-08-31 12:40:00,activepower,17821.85
B10_ARQ,2026-08-31 12:50:00,activepower,18049.25
B10_ARQ,2026-08-31 13:00:00,activepower,17886.2
B10_ARQ,2026-08-31 13:10:00,activepower,18252.9
B10_ARQ,2026-08-31 13:20:00,activepower,18757.15
B10_ARQ,2026-08-31 13:30:00,activepower,18335.5
B10_ARQ,2026-08-31 13:40:00,activepower,19521.5
B10_ARQ,2026-08-31 13:50:00,activepower,18784.85
B10_ARQ,2026-08-31 14:00:00,activepower,19005.9
B10_ARQ,2026-08-31 14:10:00,activepower,19256.05
B10_ARQ,2026-08-31 14:20:00,activepower,20507.9
B10_ARQ,2026-08-31 14:30:00,activepower,18022.2
B12_DERE,2026-08-29 14:30:00,activepower,4786.049999999999
B12_DERE,2026-08-29 14:40:00,activepower,4138.75
B12_DERE,2026-08-29 14:50:00,activepower,4334.7
B12_DERE,2026-08-29 15:00:00,activepower,3624.9
B12_DERE,2026-08-29 15:10:00,activepower,4817.9
B12_DERE,2026-08-29 15:20:00,activepower,4089.3
B12_DERE,2026-08-29 15:30:00,activepower,4314.25
B12_DERE,2026-08-29 15:40:00,activepower,4125.5
B12_DERE,2026-08-29 15:50:00,activepower,4272.25
B12_DERE,2026-08-29 16:00:00,activepower,4296.6
B12_DERE,2026-08-29 16:10:00,activepower,4110.7
B12_DERE,2026-08-29 16:20:00,activepower,4798.0
B12_DERE,2026-08-29 16:30:00,activepower,4457.75
B12_DERE,2026-08-29 16:40:00,activepower,4778.8
B12_DERE,2026-08-29 16:50:00,activepower,4842.8
B12_DERE,2026-08-29 17:00:00,activepower,3976.75
B12_DERE,2026-08-29 17:10:00,activepower,3758.8
B12_DERE,2026-08-29 17:20:00,activepower,2727.15
B12_DERE,2026-08-29 17:30:00,activepower,2926.8
B12_DERE,2026-08-29 17:40:00,activepower,1760.7
B12_DERE,2026-08-29 17:50:00,activepower,2321.3
B12_DERE,2026-08-29 18:00:00,activepower,3038.7
B12_DERE,2026-08-29 18:10:00,activepower,3446.8
B12_DERE,2026-08-29 18:20:00,activepower,4467.15
B12_DERE,2026-08-29 18:30:00,activepower,3783.9
B12_DERE,2026-08-29 18:40:00,activepower,4975.25
B12_DERE,2026-08-29 18:50:00,activepower,4005.7
B12_DERE,2026-08-29 19:00:00,activepower,3772.5
B12_DERE,2026-08-29 19:10:00,activepower,4454.1
B12_DERE,2026-08-29 19:20:00,activepower,3278.6
B12_DERE,2026-08-29 19:30:00,activepower,4263.7
B12_DERE,2026-08-29 19:40:00,activepower,5046.5
B12_DERE,2026-08-29 19:50:00,activepower,3586.95
B12_DERE,2026-08-29 20:00:00,activepower,5000.6
B12_DERE,2026-08-29 20:10:00,activepower,4284.75
B12_DERE,2026-08-29 20:20:00,activepower,3992.2
B12_DERE,2026-08-29 20:30:00,activepower,3785.75
B12_DERE,2026-08-29 20:40:00,activepower,4134.049999999999
B12_DERE,2026-08-29 20:50:00,activepower,3576.5
B12_DERE,2026-08-29 21:00:00,activepower,4047.95
B12_DERE,2026-08-29 21:10:00,activepower,3970.35
B12_DERE,2026-08-29 21:20:00,activepower,3792.5
B12_DERE,2026-08-29 21:30:00,activepower,4986.049999999999
B12_DERE,2026-08-29 21:40:00,activepower,3283.1
B12_DERE,2026-08-29 21:50:00,activepower,3782.4
B12_DERE,2026-08-29 22:00:00,activepower,1994.55
B12_DERE,2026-08-29 22:10:00,activepower,1797.6
B12_DERE,2026-08-29 22:20:00,activepower,3016.8
B12_DERE,2026-08-29 22:30:00,activepower,1771.35
B12_DERE,2026-08-29 22:40:00,activepower,1903.45
B12_DERE,2026-08-29 22:50:00,activepower,1790.1
B12_DERE,2026-08-29 23:00:00,activepower,1820.65
B12_DERE,2026-08-29 23:10:00,activepower,2076.1
B12_DERE,2026-08-29 23:20:00,activepower,1766.6
B12_DERE,2026-08-29 23:30:00,activepower,1997.15
B12_DERE,2026-08-29 23:40:00,activepower,2296.4
B12_DERE,2026-08-29 23:50:00,activepower,1759.3
B12_DERE,2026-08-30 00:00:00,activepower,1286.6
B12_DERE,2026-08-30 00:10:00,activepower,2296.7
B12_DERE,2026-08-30 00:20:00,activepower,2275.85
B12_DERE,2026-08-30 00:30:00,activepower,1289.25
B12_DERE,2026-08-30 00:40:00,activepower,2463.5
B12_DERE,2026-08-30 00:50:00,activepower,1808.7
B12_DERE,2026-08-30 01:00:00,activepower,1889.95
B12_DERE,2026-08-30 01:10:00,activepower,1771.6
B12_DERE,2026-08-30 01:20:00,activepower,1807.6
B12_DERE,2026-08-30 01:30:00,activepower,2742.95
B12_DERE,2026-08-30 01:40:00,activepower,1765.7
B12_DERE,2026-08-30 01:50:00,activepower,1993.9
B12_DERE,2026-08-30 02:00:00,activepower,2300.65
B12_DERE,2026-08-30 02:10:00,activepower,1989.4
B12_DERE,2026-08-30 02:20:00,activepower,1292.25
B12_DERE,2026-08-30 02:30:00,activepower,2289.2
B12_DERE,2026-08-30 02:40:00,activepower,1996.2
B12_DERE,2026-08-30 02:50:00,activepower,1788.95
B12_DERE,2026-08-30 03:00:00,activepower,1993.85
B12_DERE,2026-08-30 03:10:00,activepower,1816.1
B12_DERE,2026-08-30 03:20:00,activepower,2494.4
B12_DERE,2026-08-30 03:30:00,activepower,1767.4
B12_DERE,2026-08-30 03:40:00,activepower,2011.0
B12_DERE,2026-08-30 03:50:00,activepower,2310.75
B12_DERE,2026-08-30 04:00:00,activepower,1293.7
B12_DERE,2026-08-30 04:10:00,activepower,2108.95
B12_DERE,2026-08-30 04:20:00,activepower,2297.9
B12_DERE,2026-08-30 04:30:00,activepower,1996.2
B12_DERE,2026-08-30 04:40:00,activepower,1790.0500000000002
B12_DERE,2026-08-30 04:50:00,activepower,1829.6
B12_DERE,2026-08-30 05:00:00,activepower,2009.3
B12_DERE,2026-08-30 05:10:00,activepower,1780.1
B12_DERE,2026-08-30 05:20:00,activepower,1998.0
B12_DERE,2026-08-30 05:30:00,activepower,1822.0
B12_DERE,2026-08-30 05:40:00,activepower,2485.4
B12_DERE,2026-08-30 05:50:00,activepower,1289.0
B12_DERE,2026-08-30 06:00:00,activepower,2297.3
B12_DERE,2026-08-30 06:10:00,activepower,2279.6
B12_DERE,2026-08-30 06:20:00,activepower,1274.3
B12_DERE,2026-08-30 06:30:00,activepower,2507.3
B12_DERE,2026-08-30 06:40:00,activepower,1956.05
B12_DERE,2026-08-30 06:50:00,activepower,2125.7
B12_DERE,2026-08-30 07:00:00,activepower,1917.95
B12_DERE,2026-08-30 07:10:00,activepower,1961.9
B12_DERE,2026-08-30 07:20:00,activepower,2630.7
B12_DERE,2026-08-30 07:30:00,activepower,1910.85
B12_DERE,2026-08-30 07:40:00,activepower,2131.5
B12_DERE,2026-08-30 07:50:00,activepower,2440.5
B12_DERE,2026-08-30 08:00:00,activepower,2602.15
B12_DERE,2026-08-30 08:10:00,activepower,1430.35
B12_DERE,2026-08-30 08:20:00,activepower,2431.6
B12_DERE,2026-08-30 08:30:00,activepower,2610.5
B12_DERE,2026-08-30 08:40:00,activepower,1909.25
B12_DERE,2026-08-30 08:50:00,activepower,2589.4
B12_DERE,2026-08-30 09:00:00,activepower,1416.45
B12_DERE,2026-08-30 09:10:00,activepower,2444.1
B12_DERE,2026-08-30 09:20:00,activepower,2418.1
B12_DERE,2026-08-30 09:30:00,activepower,1421.65
B12_DERE,2026-08-30 09:40:00,activepower,2614.3
B12_DERE,2026-08-30 09:50:00,activepower,1899.45
B12_DERE,2026-08-30 10:00:00,activepower,2609.8500000000004
B12_DERE,2026-08-30 10:10:00,activepower,1914.7
B12_DERE,2026-08-30 10:20:00,activepower,1658.4
B12_DERE,2026-08-30 10:30:00,activepower,1771.25
B12_DERE,2026-08-30 10:40:00,activepower,1903.9
B12_DERE,2026-08-30 10:50:00,activepower,2599.95
B12_DERE,2026-08-30 11:00:00,activepower,1919.35
B12_DERE,2026-08-30 11:10:00,activepower,2587.3
B12_DERE,2026-08-30 11:20:00,activepower,1416.05
B12_DERE,2026-08-30 11:30:00,activepower,1918.2
B12_DERE,2026-08-30 11:40:00,activepower,2115.8
B12_DERE,2026-08-30 11:50:00,activepower,1930.25
B12_DERE,2026-08-30 12:00:00,activepower,3122.0
B12_DERE,2026-08-30 12:10:00,activepower,1897.8
B12_DERE,2026-08-30 12:20:00,activepower,2107.7
B12_DERE,2026-08-30 12:30:00,activepower,1917.7
B12_DERE,2026-08-30 12:40:00,activepower,1448.7
B12_DERE,2026-08-30 12:50:00,activepower,2162.4
B12_DERE,2026-08-30 13:00:00,activepower,1928.4
B12_DERE,2026-08-30 13:10:00,activepower,2137.8
B12_DERE,2026-08-30 13:20:00,activepower,2454.45
B12_DERE,2026-08-30 13:30:00,activepower,2965.4
B12_DERE,2026-08-30 13:40:00,activepower,1794.7
B12_DERE,2026-08-30 13:50:00,activepower,1941.7
B12_DERE,2026-08-30 14:00:00,activepower,2131.8
